,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost
214,34.07666,-118.20204,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,40136.726307851975
215,34.04797,-118.20208000000001,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,26201.67687537096
216,34.07263,-118.20216,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,60582.313448588335
217,34.103629999999995,-118.20218999999999,3,L1,GWB,100X30,9000.0,L1-3S-100X30-GWB,9,51683.098385741425
218,34.02511,-118.20235,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,36500.298911824466
219,34.07271,-118.2025,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,39785.041273435105
220,34.03694,-118.2028,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,28716.577798821658
221,34.10233,-118.20298000000001,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19724.981339964485
222,34.04198,-118.20298000000001,2,L2,HWS,100X50,10000.0,L2-2S-100X50-HWS,10,58399.00659606281
223,34.10927,-118.20298999999999,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,41515.54524516672
224,34.10941,-118.20306000000001,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18793.16240057525
225,34.069379999999995,-118.20317,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,54070.847175883304
226,34.05182,-118.20321000000001,3,L1,HWS,100X30,9000.0,L1-3S-100X30-HWS,9,50021.50105671117
227,34.07036,-118.20366000000001,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,33173.80520891535
228,34.1093,-118.20395,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,17670.798072315287
229,34.10822,-118.20396000000001,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18912.28838433299
230,34.03518,-118.20403,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,37790.48280585934
231,34.04935,-118.20403999999999,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,39391.97609544936
232,34.1005,-118.20408,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18319.34609928896
233,34.07334,-118.20409,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,46612.457792880356
234,34.07033,-118.20411000000001,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,31814.04160668637
235,34.10844,-118.20411999999999,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,55627.68888625261
236,34.056709999999995,-118.2043,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,20974.042524638186
237,34.04788,-118.20436000000001,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,31128.127952059178
238,34.09156,-118.20438,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19113.931560768295
239,34.10884,-118.20442,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,49258.61148343123
240,34.100120000000004,-118.20445,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,22538.702448893433
241,34.108990000000006,-118.20456999999999,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,33202.86605647696
242,34.05805,-118.20466,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,50278.538271351244
243,34.04854,-118.20473999999999,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,30324.414112151884
244,34.03641,-118.2053,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,58395.958840732455
245,34.03053,-118.20555,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,32090.21178805425
246,34.03922,-118.2057,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,17110.399402014114
247,34.04786,-118.20573,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,32163.407313812026
248,34.032509999999995,-118.20586000000002,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,32837.027850861676
249,34.043690000000005,-118.20588000000001,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18218.06927503524
250,34.04331,-118.20596,3,L1,HWS,100X30,9000.0,L1-3S-100X30-HWS,9,51250.73357833359
251,34.05032,-118.20598000000001,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,64778.448965856944
252,34.04375,-118.20601,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,37485.13853158607
253,34.04337,-118.20608999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,36088.32660169919
254,34.138459999999995,-118.20617,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,42791.01511304456
255,34.097229999999996,-118.20624,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,22811.918331336674
256,34.043479999999995,-118.20635,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,42815.409979106174
257,34.04299,-118.2065,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,34244.46148449061
258,34.044000000000004,-118.20658,3,L4,GWB,100X50,15000.0,L4-3S-100X50-GWB,15,73230.6435855181
259,34.04533,-118.20666999999999,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,60067.7732865312
260,34.04455,-118.20671999999999,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,49721.32994228923
261,34.04368,-118.20678999999998,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,42573.80076980811
262,34.04126,-118.2068,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,29145.297364795755
263,34.04461,-118.20688999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,37116.23545561142
264,34.118559999999995,-118.2072,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,16121.496512450569
265,34.04173,-118.2072,2,L2,GWB,100X50,10000.0,L2-2S-100X50-GWB,10,59466.676411976645
266,34.09174,-118.20721,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,17812.323097267574
