Index,Xpeakstrength,Zpeakstrength
Building_T4-60x50-S3-PS_Existing5,0.112523975,0.119252829
Building_T4-60x50-S3-PS_Existing6,0.07152039,0.075835694
Building_T4-60x50-S3-PS_Existing7,0.083799758,0.088846394
Building_T4-60x50-S3-PS_Existing8,0.156248787,0.165568873
Building_T4-60x50-S3-PS_Existing9,0.097736912,0.103609857
Building_T4-60x50-S3-PS_Existing10,0.135284891,0.143374691
Building_T4-100x50-S2-PS_Existing1,0.15334715,0.096679904
Building_T4-100x50-S2-PS_Existing2,0.284499073,0.182509075
Building_T4-100x50-S2-PS_Existing3,0.250369507,0.160366712
Building_T4-100x50-S2-PS_Existing4,0.166734902,0.106078288
Building_T4-100x50-S2-PS_Existing5,0.240728014,0.153717187
Building_T4-100x50-S2-PS_Existing6,0.146022546,0.09229201
Building_T4-100x50-S2-PS_Existing7,0.181787616,0.115774482
Building_T4-100x50-S2-PS_Existing8,0.224250488,0.143151197
Building_T4-100x50-S2-PS_Existing9,0.188912086,0.119840173
Building_T4-100x50-S2-PS_Existing10,0.258931093,0.166145171
Building_T4-100x50-S3-PS_Existing1,0.174415715,0.111397824
Building_T4-100x50-S3-PS_Existing2,0.135390027,0.085382571
Building_T4-100x50-S3-PS_Existing3,0.194010065,0.124010342
Building_T4-100x50-S3-PS_Existing4,0.108365448,0.067307457
Building_T4-100x50-S3-PS_Existing5,0.164043374,0.104414893
Building_T4-100x50-S3-PS_Existing6,0.205350786,0.130618599
Building_T4-100x50-S3-PS_Existing7,0.168111888,0.105588567
Building_T4-100x50-S3-PS_Existing8,0.094208001,0.058003664
Building_T4-100x50-S3-PS_Existing9,0.165646055,0.105076158
Building_T4-100x50-S3-PS_Existing10,0.145303582,0.09137412
