Latitude,Longitude,Story,Type,SMS
34.02254,-118.26262,2,,2.163
34.06703,-118.26266,3,,2.525
34.11533,-118.26326,,,2.874
34.08533,-118.26331,,,2.698
34.00948,-118.26342,2,,2.064
34.05956,-118.26348,,,2.45
34.08014,-118.26359,3,,2.648
34.01138,-118.26375,,,2.077
33.79479,-118.26379,3,,1.652
34.05798,-118.2638,,,2.434
33.79269,-118.26383,3,,1.657
34.08196,-118.26387,,,2.665
34.02237,-118.26392,2,,2.158
34.0793,-118.26403,,,2.639
33.95558,-118.26405,,,1.784
34.06539,-118.26408,,,2.505
33.78073,-118.26412,,,1.686
33.80075,-118.26417,,,1.638
34.114,-118.26419,2,,2.868
34.07307,-118.26428,2,,2.578
34.06548,-118.26431,,,2.505
33.78299,-118.26431,,,1.681
33.80083,-118.26434,,,1.639
33.80329,-118.26436,2,FWL3,1.638
34.10809,-118.26437,,,2.853
33.80226,-118.26445,2,,1.638
34.05687,-118.26447,,,2.421
34.01138,-118.26461,,,2.075
34.06717,-118.26474,,,2.52
34.00071,-118.26478,2,,1.995
33.95512,-118.26481,2,,1.781
34.08039,-118.26483,,,2.647
33.9369,-118.26483,2,,1.734
33.7826,-118.26485,2,,1.681
34.08025,-118.26492,,,2.645
34.05141,-118.26521,2,,2.365
34.0575,-118.26522,2,,2.425
34.0634,-118.26524,,FWL3,2.482
34.0606,-118.26531,,,2.455
34.02418,-118.26531,2,FWL4,2.168
34.12608,-118.26533,,,2.892
34.12577,-118.26542,,,2.891
34.09168,-118.26546,2,,2.753
33.96313,-118.26549,2,FWL4,1.818
33.94666,-118.26552,2,,1.751
33.98007,-118.26557,2,,1.896
34.06155,-118.26558,3,,2.463
34.02044,-118.26561,,,2.14
34.10741,-118.26564,,,2.848
34.06008,-118.26567,3,FWL3,2.448
34.08104,-118.26568,,,2.651
34.06282,-118.2657,3,FWL3,2.475
34.06427,-118.26575,,,2.489
34.12623,-118.26577,,,2.891
34.06771,-118.26579,2,,2.522
34.06292,-118.26586,3,FWL4,2.475
34.0684,-118.26588,3,,2.528
34.07898,-118.26589,2,,2.63
34.06411,-118.2659,,,2.487
34.06406,-118.2659,,,2.486
34.06403,-118.26591,,,2.486
34.0664,-118.26593,2,,2.509
34.0662,-118.26603,3,,2.507
34.08041,-118.26617,,,2.643
34.07903,-118.26624,,,2.63
34.08027,-118.26625,,,2.642
34.06777,-118.26625,2,,2.521
34.06685,-118.26629,3,,2.512
34.06751,-118.2664,3,,2.518
34.0654,-118.2665,3,FWL1,2.497
34.06297,-118.26662,,,2.473
34.06209,-118.26684,,,2.464
33.999,-118.26688,2,,1.981
34.062,-118.26695,,,2.463
34.06186,-118.26697,,,2.462
