Existing,Ordinance,Algorithm
1087118.604,236072.1093,554895.0256
4213088.376,1411760.707,2869026.801
2979502.264,710838.6352,2041655.727
4522142.222,1235279.225,2137059.172
6747108.16,2083871.51,4049432.389
5224923.731,1369173.928,2589837.718
7876298.874,2180859.634,4551239.411
8264829.68,2495009.188,4487504.111
15550602.88,4674226.233,8411871.527
11876928.22,3227878.218,6932258.481
23541481.62,7914384.78,13679383.95
17065383.28,5132781.884,11162675.97
25608758.19,8598178.872,15517314.12
46813802.89,17788684.3,30123561.01
51539556.48,19936149.84,35040402.03
74997008.01,28872586.32,47488431.79
82782428.8,32330954.8,55392455.86
84280943.14,30943960.45,52064664.4
125831167,51155402.85,85717459.29
149723739.3,61174877.93,96173308.92
169797556.5,71157221.22,120043477.1
177495290.9,70430369.74,116634089.2
321585593.7,145637486.9,225635291.7
328485395.8,142054938.9,229731538.1
477073736.9,230674155.2,349111337.3
630489189.9,313454527.9,475502146.6
669613460.2,328897149,481299175.6
863644325.1,441178307.5,633769122.7
1180859429,642871781.6,903194062.7
1763528646,1010998572,1402322160
202607.0774,42011.53881,104602.6989
161585.2345,30673.52688,61963.93368
210735.45,38853.04555,78726.38518
288976.2576,52461.91038,146025.149
428060.5412,81448.61009,208600.0563
862423.5183,181063.1796,547924.2187
518155.3459,106178.9051,264906.8239
877236.3791,197616.283,461474.4492
1117474.169,266054.5328,814919.6537
969218.8406,212473.4019,527942.6967
367486.2539,67680.90688,178013.3645
8830420.31,3480434.626,6300865.23
1785662.085,387634.6917,856881.6111
4015661.259,1043281.488,1916987.757
5026247.621,1379764.527,2569260.564
3151515.192,758441.0063,1766148.491
5941069.495,1507168.872,2753342.214
5249417.286,1319541.576,2804130.458
9316389.724,2560802.763,5510950.133
14654589.77,4425730.153,8417772.211
14060559.32,4595350.683,8806466.578
24095188.46,8192547.971,14225122.69
29424489.87,10212999.68,17578473.39
34556076.57,11790667.35,20610174.36
45799543.54,16662191.23,29435847.64
47017825.76,16368425.14,28375342.83
50844186.01,16748440.71,30797851.15
119709937.8,48043848.11,79668465.17
105906696.2,41604579.39,71057781.73
124073999.4,50245681,79743124.8
213894211.1,94469068.21,144239140
179571955.2,72927853.38,122328406.7
212109836.7,88246734.66,143351613.9
218697024.9,93689416.59,146037188.7
339834796.6,151930725.3,238334669.8
375096530.4,171927092.9,264618113.1
450239844.2,212665341.7,318043409.8
782119263.7,391479658.6,569528117.3
930418394,482506672.3,700363475.5
1098487773,572998662.7,823815622.9
1755315845,1020234446,1407346899
308632.9241,56732.31125,194064.9307
343577.5234,62227.11654,141571.1009
227889.743,34759.32526,95190.2212
389181.3591,68376.1919,165736.8586
512065.2212,105577.6397,229860.1673
832959.4217,194873.7835,296764.8747
1591973.761,413002.0001,823509.198
