Index,NoDamage,Slight,Moderate,Severe,Complete
Building_T3-50x30-S2-GS_Existing7,0.314665138,0.87845173,1.433157417,1.741175926,1.787335229
Building_T3-50x30-S2-GS_Existing8,0.202382982,0.561844699,0.881412452,0.986988637,1.003547651
Building_T3-50x30-S2-GS_Existing9,0.341933166,0.89962127,1.419882279,1.809228255,1.845245521
Building_T3-50x30-S2-GS_Existing10,0.308507864,0.830963666,1.299096157,1.506444114,1.524410361
Building_T3-50x30-S3-GS_Existing1,0.141566679,0.429455283,0.678832557,0.762678187,0.762795315
Building_T3-50x30-S3-GS_Existing2,0.141305393,0.435303144,0.676036384,0.744324057,0.752302261
Building_T3-50x30-S3-GS_Existing3,0.148544775,0.483727003,0.710348154,0.783963424,0.784092627
Building_T3-50x30-S3-GS_Existing4,0.180100754,0.535008687,0.829520934,0.941778031,0.947879468
Building_T3-50x30-S3-GS_Existing5,0.201279749,0.565511993,0.898460311,0.99998968,1.006305098
Building_T3-50x30-S3-GS_Existing6,0.111055349,0.280020847,0.452136204,0.520717759,0.530900226
Building_T3-50x30-S3-GS_Existing7,0.143469285,0.441211034,0.658758679,0.736561535,0.7392486
Building_T3-50x30-S3-GS_Existing8,0.189130487,0.546886634,0.832064811,0.94085339,0.947669606
Building_T3-50x30-S3-GS_Existing9,0.111722661,0.299397989,0.464833444,0.541494651,0.553964854
Building_T3-50x30-S3-GS_Existing10,0.119298428,0.41450637,0.681285603,0.782368804,0.795216405
Building_T3-80x30-S2-GS_Existing1,0.174086057,0.521622702,0.818815343,0.962485639,0.966237495
Building_T3-80x30-S2-GS_Existing2,0.239825818,0.689005947,1.031173171,1.105370428,1.112156562
Building_T3-80x30-S2-GS_Existing3,0.26441776,0.768276645,1.211849026,1.383170881,1.405079642
Building_T3-80x30-S2-GS_Existing4,0.26375635,0.777555267,1.247661418,1.528244788,1.539256529
Building_T3-80x30-S2-GS_Existing5,0.174173493,0.522448822,0.802148041,0.858005136,0.863068917
Building_T3-80x30-S2-GS_Existing6,0.237369071,0.708444587,1.121339437,1.2836222,1.295319971
Building_T3-80x30-S2-GS_Existing7,0.350140146,0.898348833,1.291661141,1.422424047,1.442304883
Building_T3-80x30-S2-GS_Existing8,0.193238991,0.552219574,0.847965289,0.917496258,0.928374936
Building_T3-80x30-S2-GS_Existing9,0.24304589,0.70662065,1.080223538,1.231883367,1.256393938
