Index,NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,1st Mode,2nd Mode,Xpeakstrength,Xdrift@peakstrength,Xdrift@80%peakstrength,Xdrift@20%residualstrength,Zpeakstrength,Zdrift@peakstrength,Zdrift@80%peakstrength,Zdrift@20%residualstrength
Building_T3-50x30-S2-PS_IEBC,2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.315128159,0.213029862,0.815955,0.006813,0.004308,0.040478,0.58892,0.010214,0.006683,0.042176
Building_T3-50x30-S3-PS_IEBC,3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,0.450342641,0.32506409,0.344793,0.004233,0.002644,0.02595,0.247114,0.005324,0.003368,0.026253
Building_T3-80x30-S2-PS_IEBC,2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,0.364090934,0.257273874,0.804304,0.006872,0.004385,0.040533,0.410856,0.009926,0.006367,0.042685
Building_T3-80x30-S3-PS_IEBC,3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,0.534564,0.373767579,0.340336,0.00426,0.002676,0.025982,0.170988,0.005219,0.003401,0.026523
Building_T4-60x50-S2-GS_IEBC,2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,0.274729698,0.253242913,0.704097,0.009929,0.005886,0.026018,0.753102,0.005236,0.003263,0.002093
Building_T4-60x50-S3-GS_IEBC,3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,0.377477366,0.362080282,0.298142,0.004831,0.002751,0.015096,0.419051,0.00526,0.003038,0.015128
Building_T4-100x50-S2-GS_IEBC,2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,0.260767572,0.237818579,0.769681,0.008907,0.00463,0.02633,0.641355,0.007751,0.004197,0.023672
Building_T4-100x50-S3-GS_IEBC,3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,0.387866907,0.348442117,0.330398,0.004598,0.002602,0.015081,0.274317,0.004519,0.002489,0.013957
Building_T4-60x50-S2-PS_IEBC,2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,0.32350197,0.316241094,0.496284,0.008967,0.00579,0.041035,0.561479,0.007388,0.004935,0.003921
Building_T4-60x50-S3-PS_IEBC,3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,0.479186186,0.472484726,0.208376,0.005209,0.003262,0.025972,0.240374,0.004906,0.00324,0.026673
