Slight,Moderate,Severe,Complete
1.927225489,2.181142325,2.520774093,2.5228056
1.988333473,2.202517223,2.591668,2.633194913
1.848796651,2.07113145,2.452859735,2.525928142
1.951560333,2.21661894,2.554860735,2.54012256
1.945153889,2.286760081,2.709525729,2.687526172
1.873092298,2.137139694,2.498904711,2.511923966
1.885377632,2.124006436,2.481805062,2.491892558
1.983513817,2.304060262,2.572826413,2.609526079
1.964769069,2.289315778,2.629322083,2.640499301
1.946318426,1.761444836,1.721133707,1.731362337
2.018562757,1.930869842,1.941327884,1.942682429
1.995040958,1.781618688,1.705952883,1.708859964
1.927203156,1.794274609,1.854150362,1.83530777
1.944130108,1.865630482,1.989887475,1.985577878
1.88659471,1.920521697,2.128233361,2.111229371
1.776205823,1.808123181,2.00357885,1.987670517
2.094378202,2.137443768,2.332580873,2.34513364
2.124357172,1.949716646,1.961164124,1.950909705
1.92034683,1.719863781,1.810377667,1.810034252
2.277157782,1.903994116,1.812566762,1.866406528
2.10459964,1.84878141,1.818012042,1.828960959
2.392607689,2.107035685,2.121739916,2.126482893
2.060069779,1.785725224,1.727313066,1.733407715
2.248607037,1.887567906,1.851218143,1.892800186
2.189955431,2.096902959,2.124982128,2.112239914
2.234211826,2.026745517,2.011473202,2.002570985
1.966339691,1.812297633,1.812648286,1.79609971
1.976567589,1.796224595,1.726890024,1.717877447
1.889058124,1.786401134,1.846574773,1.831636393
1.867640194,1.645686089,1.579670061,1.574986252
2.15265588,1.963777026,1.974448715,1.973770334
1.620462041,1.46743429,1.4180223,1.408569965
1.736518326,1.454131509,1.367501877,1.360795333
2.164343167,1.894550345,1.816979702,1.842387471
