,NumStory,SeismicWeight,peakstrength,drift@peakstrength,drift@80%peakstrength,drift@20%residualstrength,area
Building_T1-100x30-S3-GS_Variated5_4,1,224.0,1.0351560357142857,0.0110721,0.0073964,0.0498018,0.007563446390127709
Building_T1-100x30-S3-GS_Variated5_5,1,224.0,0.8729713303571428,0.0130631,0.00537838,0.0477297,0.008720030287081695
Building_T1-100x30-S3-GS_Variated6_1,1,219.0,1.1508548401826484,0.0107748,0.0046036,0.0580811,0.009296460941680188
Building_T1-100x30-S3-GS_Variated6_2,1,219.0,1.0246432374429224,0.0111712,0.00764865,0.0575676,0.007426059182287075
Building_T1-100x30-S3-GS_Variated6_3,1,219.0,0.8087215890410959,0.00572072,0.00281982,0.0577748,0.003166403623567082
Building_T1-100x30-S3-GS_Variated6_4,1,219.0,1.1286715525114155,0.0096036,0.00710811,0.0488198,0.006543861420594614
Building_T1-100x30-S3-GS_Variated6_5,1,219.0,0.9889379086757991,0.011036,0.00711712,0.0596667,0.007235575697068083
Building_T1-100x30-S3-GS_Variated7_1,1,251.0,0.8524390199203188,0.0105946,0.00503604,0.0633333,0.006650561031405274
Building_T1-100x30-S3-GS_Variated7_2,1,251.0,0.7908796653386455,0.0103153,0.00589189,0.0460811,0.0056914156332778165
Building_T1-100x30-S3-GS_Variated7_3,1,251.0,0.9333164621513944,0.0108108,0.00659459,0.0488108,0.006949899724579496
Building_T1-100x30-S3-GS_Variated7_4,1,251.0,1.0692688207171315,0.00962162,0.00559459,0.049991,0.007140998493938156
Building_T1-100x30-S3-GS_Variated7_5,1,251.0,0.8930714183266932,0.0121712,0.0072973,0.0625315,0.007585016060609963
Building_T1-100x30-S3-GS_Variated8_1,1,241.0,1.0821389128630707,0.00997297,0.00690991,0.0567207,0.006809564016428629
Building_T1-100x30-S3-GS_Variated8_2,1,241.0,1.106021161825726,0.012027,0.00778378,0.0637387,0.008831745631736467
Building_T1-100x30-S3-GS_Variated8_3,1,241.0,0.7154983236514523,0.0110721,0.00248649,0.0483694,0.006703941424440451
Building_T1-100x30-S3-GS_Variated8_4,1,241.0,1.0442132531120334,0.0135676,0.00927928,0.0637748,0.009160834380860936
Building_T1-100x30-S3-GS_Variated8_5,1,241.0,1.0505174771784234,0.0108829,0.00772072,0.0498739,0.007236172563387207
Building_T1-100x30-S3-GS_Variated9_1,1,207.0,1.0059398743961352,0.0105586,0.00708108,0.0381892,0.007090416700628278
Building_T1-100x30-S3-GS_Variated9_2,1,207.0,1.119597038647343,0.00873874,0.00498198,0.0502703,0.006932161371193192
Building_T1-100x30-S3-GS_Variated9_3,1,207.0,1.2265207874396133,0.00943243,0.00527928,0.0508108,0.008135420598414295
Building_T1-100x30-S3-GS_Variated9_4,1,207.0,0.9321794154589371,0.00834234,0.00412613,0.0381351,0.005642377410788503
Building_T1-100x30-S3-GS_Variated9_5,1,207.0,1.0147590000000002,0.00813514,0.00318018,0.0480721,0.006311618709446629
Building_T1-100x30-S3-GS_Variated10_1,1,220.0,0.8160888663636363,0.00383784,0.00186486,0.0456937,0.0021501208182648215
