,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost,existing fatality,optimized fatality,ordinance
1810,33.94887,-118.29098,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,62076.21089,0.005865015,0.005865015,0.004664925
1811,33.70803,-118.29098,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,17069.79916,0.003089819,0.003089819,0.002327735
1812,33.73487,-118.291,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,34104.13627,0.003764406,0.003764406,0.002999382
1813,33.73814,-118.29104,3,L3,HWS,80X30,7200,L3-3S-80X30-HWS,7,39569.62896,0.003540979,0.003540979,0.002786374
1814,33.724,-118.29108,2,L4,GWB,100X50,10000,L4-2S-100X50-GWB,10,57740.06989,0.003202328,0.003202328,0.002574198
1815,33.72491,-118.29109,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,39374.91922,0.003162396,0.003162396,0.002532308
1816,33.92207,-118.29114,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,30514.5822,0.005555133,0.005555133,0.004661628
1817,33.92188,-118.29114,2,L1,GWB,100X30,6000,L1-2S-100X30-GWB,6,35882.17446,0.005616376,0.005616376,0.00470963
1818,33.98144,-118.29115,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,40676.24841,0.006884599,0.006884599,0.005648191
1819,33.88722,-118.29115,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,28908.92608,0.004692328,0.004692328,0.003623042
1820,33.88696,-118.29116,2,L1,GWB,100X30,6000,L1-2S-100X30-GWB,6,36877.20802,0.004690334,0.004690334,0.003604405
1821,33.72123,-118.29117,2,L4,HWS,60X50,6000,L4-2S-60X50-HWS,6,37535.1358,0.003248301,0.003248301,0.002615032
1822,33.91316,-118.29121,2,L4,HWS,60X50,6000,L4-2S-60X50-HWS,6,37361.61572,0.005515777,0.005515777,0.004588111
1823,33.94431,-118.29122,2,L1,GWB,60X30,3600,L1-2S-60X30-GWB,4,22318.75717,0.006014514,0.006014514,0.004888594
1824,33.91261,-118.29122,3,L3,HWS,50X30,4500,L3-3S-50X30-HWS,4,26338.66151,0.005562788,0.005562788,0.004645712
1825,33.91246,-118.29122,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,18608.40893,0.005570901,0.005570901,0.004672901
1826,33.71219,-118.29122,3,L3,HWS,80X30,7200,L3-3S-80X30-HWS,7,44270.6856,0.00300182,0.00300182,0.002281027
1827,33.91111,-118.29123,2,L1,GWB,60X30,3600,L1-2S-60X30-GWB,4,24920.15589,0.005629672,0.005629672,0.004722548
1828,33.91007,-118.29123,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,34066.30332,0.005611088,0.005611088,0.00470363
1829,33.88827,-118.29123,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,18365.80513,0.004684613,0.004684613,0.003606652
1830,33.94049,-118.29127,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,55221.13305,0.005648807,0.005648807,0.004524242
1831,33.7131,-118.29129,3,L3,HWS,50X30,4500,L3-3S-50X30-HWS,4,27090.25771,0.002971662,0.002971662,0.002283879
1832,33.72134,-118.2913,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,17466.66003,0.003255032,0.003255032,0.002631703
1833,33.71352,-118.29131,2,L1,GWB,60X30,3600,L1-2S-60X30-GWB,4,26193.20159,0.003069125,0.003069125,0.002378292
1834,33.71995,-118.29133,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,31146.70932,0.003266149,0.003266149,0.002623361
1835,33.91734,-118.29137,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,58249.47279,0.005693452,0.005693452,0.004725213
1836,33.91281,-118.29138,2,L4,HWS,60X50,6000,L4-2S-60X50-HWS,6,35748.6606,0.00557866,0.00557866,0.004648015
1837,33.7177,-118.2914,3,L3,GWB,50X30,4500,L3-3S-50X30-GWB,4,25556.48178,0.003172891,0.003172891,0.002471483
1838,33.7345,-118.29149,2,L1,GWB,100X30,6000,L1-2S-100X30-GWB,6,38687.78646,0.00385059,0.00385059,0.003097814
1839,33.72219,-118.29149,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,36205.77568,0.003286663,0.003286663,0.002646486
